Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1859_High09_C_R14_2of2_Taes_1x1_l_c,1859,Nikon,1x,1,High09,C,R14,Top,2of2,External,Taes,l,c
1861_High09_C_R15_1of1_Taes_1x1_d_c,1861,Nikon,1x,1,High09,C,R15,Top,1of1,Solo,Taes,d,c
1862_High09_C_R15_1of1_Taes_1x1_l_c,1862,Nikon,1x,1,High09,C,R15,Top,1of1,Solo,Taes,l,c
1864_High09_C_R16_1of1_Taes_1x1_d_c,1864,Nikon,1x,1,High09,C,R16,Top,1of1,Solo,Taes,d,c
1865_High09_C_R16_1of1_Taes_1x1_l_c,1865,Nikon,1x,1,High09,C,R16,Top,1of1,Solo,Taes,l,c
2191_190157_A_R1_1of4_Tturg_1x1_d_c,2191,Nikon,1x,1,190157,A,R1,Base,1of4,External,Tturg,d,c
2192_190157_A_R1_1of4_Tturg_1x1_l_c,2192,Nikon,1x,1,190157,A,R1,Base,1of4,External,Tturg,l,c
2194_190157_A_R1_2of4_Tturg_1x1_d_c,2194,Nikon,1x,1,190157,A,R1,Base,2of4,Internal,Tturg,d,c
2195_190157_A_R1_2of4_Tturg_1x1_l_c,2195,Nikon,1x,1,190157,A,R1,Base,2of4,Internal,Tturg,l,c
2197_190157_A_R1_3of4_Tturg_1x1_d_c,2197,Nikon,1x,1,190157,A,R1,Base,3of4,Internal,Tturg,d,c
2198_190157_A_R1_3of4_Tturg_1x1_l_c,2198,Nikon,1x,1,190157,A,R1,Base,3of4,Internal,Tturg,l,c
2200_190157_A_R11_1of4_Tturg_1x1_d_c,2200,Nikon,1x,1,190157,A,R11,Mid,1of4,External,Tturg,d,c
2201_190157_A_R11_1of4_Tturg_1x1_l_c,2201,Nikon,1x,1,190157,A,R11,Mid,1of4,External,Tturg,l,c
2203_190157_A_R11_2of4_Tturg_1x1_d_c,2203,Nikon,1x,1,190157,A,R11,Mid,2of4,Internal,Tturg,d,c
2204_190157_A_R11_2of4_Tturg_1x1_l_c,2204,Nikon,1x,1,190157,A,R11,Mid,2of4,Internal,Tturg,l,c
2206_190157_A_R12_1of4_Tturg_1x1_d_c,2206,Nikon,1x,1,190157,A,R12,Mid,1of4,External,Tturg,d,c
2207_190157_A_R12_1of4_Tturg_1x1_l_c,2207,Nikon,1x,1,190157,A,R12,Mid,1of4,External,Tturg,l,c
2209_190157_A_R20_1of2_Tturg_1x1_d_c,2209,Nikon,1x,1,190157,A,R20,Top,1of2,External,Tturg,d,c
2210_190157_A_R20_1of2_Tturg_1x1_l_c,2210,Nikon,1x,1,190157,A,R20,Top,1of2,External,Tturg,l,c
2212_190157_A_R21_1of1_Tturg_1x1_d_c,2212,Nikon,1x,1,190157,A,R21,Top,1of1,Solo,Tturg,d,c
2213_190157_A_R21_1of1_Tturg_1x1_l_c,2213,Nikon,1x,1,190157,A,R21,Top,1of1,Solo,Tturg,l,c
2215_190157_A_R22_1of1_Tturg_1x1_d_c,2215,Nikon,1x,1,190157,A,R22,Top,1of1,Solo,Tturg,d,c
2216_190157_A_R22_1of1_Tturg_1x1_l_c,2216,Nikon,1x,1,190157,A,R22,Top,1of1,Solo,Tturg,l,c
2218_190157_B_R1_1of2_Tturg_1x1_d_c,2218,Nikon,1x,1,190157,B,R1,Base,1of2,External,Tturg,d,c
2219_190157_B_R1_1of2_Tturg_1x1_l_c,2219,Nikon,1x,1,190157,B,R1,Base,1of2,External,Tturg,l,c
2221_190157_B_R1_2of2_Tturg_1x1_d_c,2221,Nikon,1x,1,190157,B,R1,Base,2of2,External,Tturg,d,c
2222_190157_B_R1_2of2_Tturg_1x1_l_c,2222,Nikon,1x,1,190157,B,R1,Base,2of2,External,Tturg,l,c
2224_190157_B_R2_1of2_Tturg_1x1_d_c,2224,Nikon,1x,1,190157,B,R2,Base,1of2,External,Tturg,d,c
2225_190157_B_R2_1of2_Tturg_1x1_l_c,2225,Nikon,1x,1,190157,B,R2,Base,1of2,External,Tturg,l,c
2227_190157_B_R12_4of6_Tturg_1x1_d_c,2227,Nikon,1x,1,190157,B,R12,Mid,4of6,Internal,Tturg,d,c
2228_190157_B_R12_4of6_Tturg_1x1_l_c,2228,Nikon,1x,1,190157,B,R12,Mid,4of6,Internal,Tturg,l,c
2230_190157_B_R12_5of6_Tturg_1x1_d_c,2230,Nikon,1x,1,190157,B,R12,Mid,5of6,Internal,Tturg,d,c
2231_190157_B_R12_5of6_Tturg_1x1_l_c,2231,Nikon,1x,1,190157,B,R12,Mid,5of6,Internal,Tturg,l,c
2233_190157_B_R12_6of6_Tturg_1x1_d_c,2233,Nikon,1x,1,190157,B,R12,Mid,6of6,External,Tturg,d,c
2234_190157_B_R12_6of6_Tturg_1x1_l_c,2234,Nikon,1x,1,190157,B,R12,Mid,6of6,External,Tturg,l,c
2236_190157_B_R22_1of2_Tturg_1x1_d_c,2236,Nikon,1x,1,190157,B,R22,Top,1of2,External,Tturg,d,c
2237_190157_B_R22_1of2_Tturg_1x1_l_c,2237,Nikon,1x,1,190157,B,R22,Top,1of2,External,Tturg,l,c
2239_190157_B_R22_2of2_Tturg_1x1_d_c,2239,Nikon,1x,1,190157,B,R22,Top,2of2,External,Tturg,d,c
2240_190157_B_R22_2of2_Tturg_1x1_l_c,2240,Nikon,1x,1,190157,B,R22,Top,2of2,External,Tturg,l,c
2242_190157_B_R23_1of1_Tturg_1x1_d_c,2242,Nikon,1x,1,190157,B,R23,Top,1of1,Solo,Tturg,d,c
2243_190157_B_R23_1of1_Tturg_1x1_l_c,2243,Nikon,1x,1,190157,B,R23,Top,1of1,Solo,Tturg,l,c
2245_190157_C_R2_1of2_Tturg_1x1_d_c,2245,Nikon,1x,1,190157,C,R2,Base,1of2,External,Tturg,d,c
2246_190157_C_R2_1of2_Tturg_1x1_l_c,2246,Nikon,1x,1,190157,C,R2,Base,1of2,External,Tturg,l,c
2248_190157_C_R2_2of2_Tturg_1x1_d_c,2248,Nikon,1x,1,190157,C,R2,Base,2of2,External,Tturg,d,c
2249_190157_C_R2_2of2_Tturg_1x1_l_c,2249,Nikon,1x,1,190157,C,R2,Base,2of2,External,Tturg,l,c
2251_190157_C_R3_4of5_Tturg_1x1_d_c,2251,Nikon,1x,1,190157,C,R3,Base,4of5,Internal,Tturg,d,c
2252_190157_C_R3_4of5_Tturg_1x1_l_c,2252,Nikon,1x,1,190157,C,R3,Base,4of5,Internal,Tturg,l,c
2254_190157_C_R8_1of6_Tturg_1x1_d_c,2254,Nikon,1x,1,190157,C,R8,Mid,1of6,External,Tturg,d,c
2255_190157_C_R8_1of6_Tturg_1x1_l_c,2255,Nikon,1x,1,190157,C,R8,Mid,1of6,External,Tturg,l,c
2257_190157_C_R8_2of6_Tturg_1x1_d_c,2257,Nikon,1x,1,190157,C,R8,Mid,2of6,Internal,Tturg,d,c
2258_190157_C_R8_2of6_Tturg_1x1_l_c,2258,Nikon,1x,1,190157,C,R8,Mid,2of6,Internal,Tturg,l,c
