Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
2204_190157_A_R11_2of4_Tturg_1x1_l_c,2204,Nikon,1x,1,190157,A,R11,Mid,2of4,Internal,Tturg,l,c
2205_190157_A_R11_2of4_Tturg_1x1_p_c,2205,Nikon,1x,1,190157,A,R11,Mid,2of4,Internal,Tturg,p,c
2206_190157_A_R12_1of4_Tturg_1x1_d_c,2206,Nikon,1x,1,190157,A,R12,Mid,1of4,External,Tturg,d,c
2207_190157_A_R12_1of4_Tturg_1x1_l_c,2207,Nikon,1x,1,190157,A,R12,Mid,1of4,External,Tturg,l,c
2208_190157_A_R12_1of4_Tturg_1x1_p_c,2208,Nikon,1x,1,190157,A,R12,Mid,1of4,External,Tturg,p,c
2209_190157_A_R20_1of2_Tturg_1x1_d_c,2209,Nikon,1x,1,190157,A,R20,Top,1of2,External,Tturg,d,c
2210_190157_A_R20_1of2_Tturg_1x1_l_c,2210,Nikon,1x,1,190157,A,R20,Top,1of2,External,Tturg,l,c
2211_190157_A_R20_1of2_Tturg_1x1_p_c,2211,Nikon,1x,1,190157,A,R20,Top,1of2,External,Tturg,p,c
2212_190157_A_R21_1of1_Tturg_1x1_d_c,2212,Nikon,1x,1,190157,A,R21,Top,1of1,Solo,Tturg,d,c
2213_190157_A_R21_1of1_Tturg_1x1_l_c,2213,Nikon,1x,1,190157,A,R21,Top,1of1,Solo,Tturg,l,c
2214_190157_A_R21_1of1_Tturg_1x1_p_c,2214,Nikon,1x,1,190157,A,R21,Top,1of1,Solo,Tturg,p,c
2215_190157_A_R22_1of1_Tturg_1x1_d_c,2215,Nikon,1x,1,190157,A,R22,Top,1of1,Solo,Tturg,d,c
2216_190157_A_R22_1of1_Tturg_1x1_l_c,2216,Nikon,1x,1,190157,A,R22,Top,1of1,Solo,Tturg,l,c
2217_190157_A_R22_1of1_Tturg_1x1_p_c,2217,Nikon,1x,1,190157,A,R22,Top,1of1,Solo,Tturg,p,c
2218_190157_B_R1_1of2_Tturg_1x1_d_c,2218,Nikon,1x,1,190157,B,R1,Base,1of2,External,Tturg,d,c
2219_190157_B_R1_1of2_Tturg_1x1_l_c,2219,Nikon,1x,1,190157,B,R1,Base,1of2,External,Tturg,l,c
2220_190157_B_R1_1of2_Tturg_1x1_p_c,2220,Nikon,1x,1,190157,B,R1,Base,1of2,External,Tturg,p,c
2221_190157_B_R1_2of2_Tturg_1x1_d_c,2221,Nikon,1x,1,190157,B,R1,Base,2of2,External,Tturg,d,c
2222_190157_B_R1_2of2_Tturg_1x1_l_c,2222,Nikon,1x,1,190157,B,R1,Base,2of2,External,Tturg,l,c
2223_190157_B_R1_2of2_Tturg_1x1_p_c,2223,Nikon,1x,1,190157,B,R1,Base,2of2,External,Tturg,p,c
2224_190157_B_R2_1of2_Tturg_1x1_d_c,2224,Nikon,1x,1,190157,B,R2,Base,1of2,External,Tturg,d,c
2225_190157_B_R2_1of2_Tturg_1x1_l_c,2225,Nikon,1x,1,190157,B,R2,Base,1of2,External,Tturg,l,c
2226_190157_B_R2_4of6_Tturg_1x1_p_c,2226,Nikon,1x,1,190157,B,R2,Base,1of2,External,Tturg,p,c
2227_190157_B_R12_4of6_Tturg_1x1_d_c,2227,Nikon,1x,1,190157,B,R12,Mid,4of6,Internal,Tturg,d,c
2228_190157_B_R12_4of6_Tturg_1x1_l_c,2228,Nikon,1x,1,190157,B,R12,Mid,4of6,Internal,Tturg,l,c
2229_190157_B_R12_4of6_Tturg_1x1_p_c,2229,Nikon,1x,1,190157,B,R12,Mid,4of6,Internal,Tturg,p,c
2230_190157_B_R12_5of6_Tturg_1x1_d_c,2230,Nikon,1x,1,190157,B,R12,Mid,5of6,Internal,Tturg,d,c
2231_190157_B_R12_5of6_Tturg_1x1_l_c,2231,Nikon,1x,1,190157,B,R12,Mid,5of6,Internal,Tturg,l,c
2232_190157_B_R12_6of6_Tturg_1x1_p_c,2232,Nikon,1x,1,190157,B,R12,Mid,5of6,Internal,Tturg,p,c
2233_190157_B_R12_6of6_Tturg_1x1_d_c,2233,Nikon,1x,1,190157,B,R12,Mid,6of6,External,Tturg,d,c
