Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1117_TRI8005_B_R7_1of3_Tdur_1x1_d_uc,1117,Nikon,1x,1,TRI8005,B,R7,Mid,1of3,External,Tdur,d,uc
1118_TRI8005_B_R7_1of3_Tdur_1x1_l_uc,1118,Nikon,1x,1,TRI8005,B,R7,Mid,1of3,External,Tdur,l,uc
1119_TRI8005_B_R7_1of3_Tdur_1x1_p_uc,1119,Nikon,1x,1,TRI8005,B,R7,Mid,1of3,External,Tdur,p,uc
1120_TRI8005_B_R7_2of3_Tdur_1x1_d_uc,1120,Nikon,1x,1,TRI8005,B,R7,Mid,2of3,Internal,Tdur,d,uc
1121_TRI8005_B_R7_2of3_Tdur_1x1_l_uc,1121,Nikon,1x,1,TRI8005,B,R7,Mid,2of3,Internal,Tdur,l,uc
1122_TRI8005_B_R7_2of3_Tdur_1x1_p_uc,1122,Nikon,1x,1,TRI8005,B,R7,Mid,2of3,Internal,Tdur,p,uc
1123_TRI8005_B_R7_3of3_Tdur_1x1_d_uc,1123,Nikon,1x,1,TRI8005,B,R7,Mid,3of3,External,Tdur,d,uc
1124_TRI8005_B_R7_3of3_Tdur_1x1_l_uc,1124,Nikon,1x,1,TRI8005,B,R7,Mid,3of3,External,Tdur,l,uc
1125_TRI8005_B_R7_3of3_Tdur_1x1_p_uc,1125,Nikon,1x,1,TRI8005,B,R7,Mid,3of3,External,Tdur,p,uc
1126_TRI8005_B_R14_1of2_Tdur_1x1_d_uc,1126,Nikon,1x,1,TRI8005,B,R14,Top,1of2,External,Tdur,d,uc
1127_TRI8005_B_R14_1of2_Tdur_1x1_l_uc,1127,Nikon,1x,1,TRI8005,B,R14,Top,1of2,External,Tdur,l,uc
1128_TRI8005_B_R14_1of2_Tdur_1x1_p_uc,1128,Nikon,1x,1,TRI8005,B,R14,Top,1of2,External,Tdur,p,uc
1129_TRI8005_B_R14_2of2_Tdur_1x1_d_uc,1129,Nikon,1x,1,TRI8005,B,R14,Top,2of2,External,Tdur,d,uc
1130_TRI8005_B_R14_2of2_Tdur_1x1_l_uc,1130,Nikon,1x,1,TRI8005,B,R14,Top,2of2,External,Tdur,l,uc
1131_TRI8005_B_R14_2of2_Tdur_1x1_p_uc,1131,Nikon,1x,1,TRI8005,B,R14,Top,2of2,External,Tdur,p,uc
1132_TRI8005_B_R15_1of1_Tdur_1x1_d_uc,1132,Nikon,1x,1,TRI8005,B,R15,Top,1of1,Solo,Tdur,d,uc
1133_TRI8005_B_R15_1of1_Tdur_1x1_l_uc,1133,Nikon,1x,1,TRI8005,B,R15,Top,1of1,Solo,Tdur,l,uc
1134_TRI8005_B_R15_1of1_Tdur_1x1_p_uc,1134,Nikon,1x,1,TRI8005,B,R15,Top,1of1,Solo,Tdur,p,uc
1135_TRI8005_C_R1_1of2_Tdur_1x1_d_uc,1135,Nikon,1x,1,TRI8005,C,R1,Base,1of2,External,Tdur,d,uc
1136_TRI8005_C_R1_1of2_Tdur_1x1_l_uc,1136,Nikon,1x,1,TRI8005,C,R1,Base,1of2,External,Tdur,l,uc
1137_TRI8005_C_R1_1of2_Tdur_1x1_p_uc,1137,Nikon,1x,1,TRI8005,C,R1,Base,1of2,External,Tdur,p,uc
1138_TRI8005_C_R1_2of2_Tdur_1x1_d_uc,1138,Nikon,1x,1,TRI8005,C,R1,Base,2of2,External,Tdur,d,uc
1139_TRI8005_C_R1_2of2_Tdur_1x1_l_uc,1139,Nikon,1x,1,TRI8005,C,R1,Base,2of2,External,Tdur,l,uc
1140_TRI8005_C_R1_2of2_Tdur_1x1_p_uc,1140,Nikon,1x,1,TRI8005,C,R1,Base,2of2,External,Tdur,p,uc
1141_TRI8005_C_R2_2of3_Tdur_1x1_d_uc,1141,Nikon,1x,1,TRI8005,C,R2,Base,2of3,Internal,Tdur,d,uc
1142_TRI8005_C_R2_2of3_Tdur_1x1_l_uc,1142,Nikon,1x,1,TRI8005,C,R2,Base,2of3,Internal,Tdur,l,uc
1143_TRI8005_C_R2_2of3_Tdur_1x1_p_uc,1143,Nikon,1x,1,TRI8005,C,R2,Base,2of3,Internal,Tdur,p,uc
1144_TRI8005_C_R8_1of3_Tdur_1x1_d_uc,1144,Nikon,1x,1,TRI8005,C,R8,Mid,1of3,External,Tdur,d,uc
1145_TRI8005_C_R8_1of3_Tdur_1x1_l_uc,1145,Nikon,1x,1,TRI8005,C,R8,Mid,1of3,External,Tdur,l,uc
1146_TRI8005_C_R8_1of3_Tdur_1x1_p_uc,1146,Nikon,1x,1,TRI8005,C,R8,Mid,1of3,External,Tdur,p,uc
1147_TRI8005_C_R8_3of3_Tdur_1x1_d_uc,1147,Nikon,1x,1,TRI8005,C,R8,Mid,3of3,External,Tdur,d,uc
1148_TRI8005_C_R8_3of3_Tdur_1x1_l_uc,1148,Nikon,1x,1,TRI8005,C,R8,Mid,3of3,External,Tdur,l,uc
1149_TRI8005_C_R8_3of3_Tdur_1x1_p_uc,1149,Nikon,1x,1,TRI8005,C,R8,Mid,3of3,External,Tdur,p,uc
